ID,Title,Year,Rating,Rank
42b83ba8-0168-450c-b224-9115721353cb,The Godfather,1972,9.2,1
40a13538-ff98-4596-8435-b617beadb9d0,Tokyo Story,1953,8.1,2
99619f03-0b4d-43f8-a136-d5a5fd0df7ce,Seven Samurai,1954,8.6,3
52f24199-d46f-49f0-bd3b-ebb4c430e533,The Godfather Part II,1974,9,4
0b63ed36-0714-42fe-9b50-f91ad663561a,Casablanca,1942,8.5,5
726f93fd-a197-40c9-b098-f42fe1cf4237,Citizen Kane,1941,8.3,6
d9be7aa8-48d7-4a33-83c0-ae6eeacd3007,Lawrence of Arabia,1962,8.3,7
dda3934d-278b-4790-a378-e8bc2ca940eb,12 Angry Men,1957,9,8
2b4b5888-f166-41b7-bdf4-07d87b2c10ac,Sunset Blvd.,1950,8.4,9
967cb3b5-3160-43cf-8585-a3d2010f0422,Shoah,1985,8.7,10
ea5afe15-9b70-4294-ad9d-d3970fd12936,Ordet,1955,8.2,11
a071725b-b90d-40bd-95f5-56f8889c40b6,All About Eve,1950,8.2,12
fd9d6d4b-76cc-48fc-aed5-fd4f4ac96de1,The Decalogue,1989,8.9,13
2d469a5e-6b30-45b7-957d-a7b0a3bbbfb9,Pulp Fiction,1994,8.9,14
1c82e78e-800b-4a9e-9663-50662f3bc013,City Lights,1931,8.5,15
8b80fb24-14f0-4837-93ce-5c0c9424e86f,Ugetsu,1953,8.2,16
b4716175-303f-413c-ba94-99890fac3f0b,Singin' in the Rain,1952,8.3,17
f8b7490e-4f0d-4738-a844-efcd0eeeba82,Schindler's List,1993,9,18
46aff5f8-b30a-4a8f-8ccd-3446d3ec5f0a,The 400 Blows,1959,8.1,19
576424f8-4fdb-4af5-aba9-e02123cae8ae,Goodfellas,1990,8.7,20
2f6e6d26-5205-4c26-a234-03a8fc742fcb,Children of Paradise,1945,8.3,21
89db384b-a6d3-49bc-ba49-e610b632ded4,Modern Times,1936,8.5,22
704a1968-f78b-4fc9-a305-7dd7c293c8d1,Psycho,1960,8.5,23
2b5f9404-52a0-488c-8a8c-a3228666dc65,One Flew Over the Cuckoo's Nest,1975,8.7,24
fb9d3c12-ee4b-4f2e-8614-32b7dba969ec,M,1931,8.3,25
1eb40652-3ccc-4c0d-bbfe-1c8b5408a883,The Third Man,1949,8.1,26
d6b7b648-d4de-4d42-82f8-a32f2faace91,Grave of the Fireflies,1988,8.5,27
0f9a45f9-eb8e-4ac7-903f-eef179ba6dd4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,28
7718f19d-d926-4dae-aadf-cb21ad0be700,Pather Panchali,1955,8.2,29
dd7cf095-5c06-4820-964a-ef841e8c0910,Rear Window,1954,8.5,30
bd88bd58-d1b7-4d19-a633-f7f757a3db54,Rashomon,1950,8.2,31
47fcdaaa-826f-426f-9425-efbcf9436eaf,Apocalypse Now,1979,8.4,32
5aa2c4e3-26e9-460b-8d38-ad2f3e6187db,Night and Fog,1956,8.6,33
c6d8ac9e-9f0f-4239-b8f8-e78fee9e3b52,The Passion of Joan of Arc,1928,8.1,34
653a29af-0157-4f2c-9bd8-b49ec581bc0b,The Rules of the Game,1939,7.9,35
a56d2a0b-2abb-4376-a21d-5d50863cda57,Bicycle Thieves,1948,8.3,36
a73f831c-5771-4af9-a767-42126228a727,Ikiru,1952,8.3,37
7f0e1dce-b4a7-4d76-b9db-f733193ecab1,Sansho the Bailiff,1954,8.4,38
642b626c-d5bd-4804-ae3f-02c37fd4be42,The World of Apu,1959,8.5,39
88878166-0fb0-44cb-8c66-a7ac0f6c9ba3,"The Good, the Bad and the Ugly",1966,8.8,40
54b6ec2e-bfb3-4ed4-87e6-331f434e12f1,Sherlock Jr.,1924,8.2,41
bc25bb4d-a4b7-4513-aadb-9b74212627d9,The Wizard of Oz,1939,8.1,42
93b0aa9a-7a04-4cb1-8d42-867ff069d032,Taxi Driver,1976,8.2,43
1cc2db6d-55d6-4213-a1e5-b33567a75c53,Kes,1969,7.9,44
360f7d0f-005f-4607-a634-12271d075f6b,The Battle of Algiers,1966,8.1,45
3d561bc5-d919-47ab-87df-4ff4f9817382,Chinatown,1974,8.1,46
53c1e5c1-d7b5-4386-880b-9e66215127ee,A Man Escaped,1956,8.2,47
9bf5ca5c-f772-4edd-8999-a81df8d18efb,Metropolis,1927,8.3,48
acd1b621-a0df-41a6-ac71-a488d45a0c3c,North by Northwest,1959,8.3,49
e1f5d8ca-2ddd-4a9f-8248-14b1beeb7e18,The Grand Illusion,1937,8.1,50
e009e63f-fa8f-47a1-bc01-eb9e2d164cea,Greed,1924,8,51
4ce048db-75ba-4371-94e9-2d52095106b0,Fanny and Alexander,1982,8.1,52
123c485b-e686-4a79-b6e1-9c268b626aa4,Make Way for Tomorrow,1937,8.2,53
84183c4b-0ec2-4717-9df7-f9058c94f9d7,Kind Hearts and Coronets,1949,8,54
58f2f7d9-d8aa-448b-b6f4-f98d27b70948,Woman in the Dunes,1964,8.5,55
e8891ae2-b1d2-44fc-8cca-da225b4c59d6,Ran,1985,8.2,56
0fefa1c4-c178-4471-87bc-eae7eba26f8d,Andrei Rublev,1966,8.1,57
0e6bbd03-9d27-49ce-a48e-906bd064ae2f,The Easy Life,1962,8.2,58
4a8cb52a-8619-430e-ad66-4afb0ad230ce,Mirror,1975,8,59
f2f48813-930d-4b52-b68d-a12dd2fce7a2,The Treasure of the Sierra Madre,1948,8.2,60
cf85e402-d027-458b-8d44-5792c20a8cb6,Late Spring,1949,8.2,61
1dfc73be-8c6f-4808-b58b-e7cd16f62d99,Spirited Away,2001,8.6,62
e06bf952-4285-4631-b59e-71182187a06f,Some Like It Hot,1959,8.2,63
d8cd7093-36c0-4935-b999-ed8c1456b9c9,Vertigo,1958,8.3,64
193cc528-9c93-4150-ad9c-113daa31bdf7,Paths of Glory,1957,8.4,65
65881057-c198-4bdd-824a-9f4657a92777,A Brighter Summer Day,1991,8.2,66
6083ec0b-eaca-49ad-8d94-e4c607ab25ac,A City of Sadness,1989,7.8,67
7f11a50b-91be-4bee-bb3d-82ad13cb17aa,Double Indemnity,1944,8.3,68
7c0ebc57-ebb3-4d4a-8764-133d737488a3,The Cabinet of Dr. Caligari,1920,8,69
97164431-8889-4e66-8768-0dbe8ddcd82a,The Wages of Fear,1953,8.2,70
67ba282d-2a73-42b3-9df2-37c09d526838,The Mother and the Whore,1973,7.8,71
47d75174-35dd-43d4-9ab7-6c02ddaff845,La Dolce Vita,1960,8,72
b7d64037-44dd-4523-975b-f6ac61413667,Stop Making Sense,1984,8.7,73
9f2b4e49-f21f-49f3-a4bf-c8dc08064e4c,One More Time with Feeling,2016,8.2,74
473e8e4f-5028-40d4-a92a-428f82678473,Ali: Fear Eats the Soul,1974,8,75
56c1e607-60f4-472b-b77f-cb9c5b14bdb3,A Trip to the Moon,1902,8.2,76
eb3251b4-e480-4490-a1bf-7f3306307df2,Toy Story 3,2010,8.3,77
c703770b-4292-46e6-aa1f-4e9387cb5246,A Separation,2011,8.3,78
10028a13-9f76-4ef2-a1db-9b6ba68e4e18,It's a Wonderful Life,1946,8.6,79
74992de5-fc72-43a6-8d6b-e3f302d2aba6,On the Waterfront,1954,8.1,80
2a6d1a81-6023-44c1-a575-cd7b8bbdbac4,The Maltese Falcon,1941,8,81
06bbda50-890f-4f2f-a23c-d73ca657ee2e,The Leopard,1963,7.9,82
20884f8d-274b-4eb9-8717-49473d4f4821,"Rome, Open City",1945,8,83
6336de3a-7458-49fe-ae10-b6fffd447b20, Century of Cinema,1995,8.5,84
efdb6910-56c0-4909-af7a-0f9cdbdbbb77,The Seventh Seal,1957,8.1,85
6254ab36-bee4-4d66-897a-b1c6089cd346,The Wind,1928,8,86
471a1808-42a7-4551-b087-18e1ec57ad92,Yojimbo,1961,8.2,87
030a7cd6-516f-4751-b21a-41db89190788,The Gold Rush,1925,8.1,88
7ed1a6a5-8e40-4418-b7a2-d222cbf85d75,The Sorrow and the Pity,1969,8.2,89
c5d3c382-0276-4a66-9a81-53a3beed4361,Marketa Lazarová,1967,7.9,90
5e9c391f-93bf-48c7-bf3b-38543aa0e052,The Farewell,2019,7.5,91
43ec6f57-bec0-49d3-9547-d4a1ff56cfab,The Great Dictator,1940,8.4,92
b15f2037-d96f-46e8-87a0-1a031b9927c7,The Life and Death of Colonel Blimp,1943,8,93
2bbfccc3-02d5-4abc-9c31-d7fc1812ad20,War and Peace,1965,8.3,94
cddd8c2f-2551-410f-a05c-68510d3ee394,The Philadelphia Story,1940,7.9,95
84cab9f3-016d-4ed5-b3a9-88edd785a9d5,Sunrise,1927,8.1,96
0d8c0cf5-0d10-41c5-a3b0-f53e58137815,Man with a Movie Camera,1929,8.3,97
f58ce293-8e70-4d7e-b1b7-3da465152329,Raiders of the Lost Ark,1981,8.4,98
e9811516-d472-4652-9453-aef95f2665e3,Orpheus,1950,7.9,99
4f6c9168-25f4-472d-ba24-6ff77e41ddc4,Heimat: A Chronicle of Germany,1984,8.6,100
d68bd36e-f428-4fc4-ab1d-da62698acb29,"Aguirre, the Wrath of God",1972,7.8,101
ddccb5e1-5116-49e2-adb3-9305b04cb0f2,They Shall Not Grow Old,2018,8.2,102
d92618d0-cd38-4af8-b9d2-d83eae191fd7,The House Is Black,1963,7.8,103
4c7c7f8d-0c10-432c-992d-2ebad96073fa,The Night of the Hunter,1955,8,104
16a18d5c-4380-45ee-8db5-08fd6db384b2,Balthazar,1966,7.8,105
41a07945-b19f-4ad3-bf8e-bfb2be4a2440,"Steamboat Bill, Jr.",1928,7.8,106
bb6a10b1-6b87-47eb-aa2d-e908be0ae4d4,Ivan's Childhood,1962,8,107
c08daeb7-7342-4c64-8198-d46d7aabfa55,The Music Room,1958,7.9,108
9cb51ea6-1fea-41cb-a2a1-be2aeb81f62d,The Shop on Main Street,1965,8.2,109
8b09138d-1a33-4485-8d73-a3b2d46df833,Three Colors: Red,1994,8.1,110
c5212225-073c-4b68-ad78-832e2644ffdd,Hoop Dreams,1994,8.3,111
56ececdc-fecd-4ebf-ae12-cbea753857d4,Rebecca,1940,8.1,112
42ca6baa-fcab-443f-a825-c849a99e9ab0,It's Such a Beautiful Day,2012,8.2,113
fd94ee2b-668c-4f73-a17d-da3ee1461060,Wild Strawberries,1957,8.1,114
bc629881-3b49-4338-abea-d40e901784e2,A Matter of Life and Death,1946,8,115
80630a17-83f4-433a-b650-682813b96e40,Charulata,1964,8.1,116
f8081243-3e79-400c-86cb-a5d34a004935,The Conformist,1970,7.9,117
ddf2eaf8-5b0e-4d53-9415-b23486cfe3a7,Playtime,1967,7.8,118
d9d34dc1-32e0-4889-a32b-98ad3b236c06,The Big Parade,1925,7.9,119
13618be1-5601-4830-9a17-e3ab235aae26,The Hole,1960,8.5,120
83a1f37a-72fb-4284-8d6f-771f82e325a3,The Boat,1981,8.4,121
dda04694-8731-434d-afc2-d069eb97b1e0,Umberto D.,1952,8.2,122
434a31e6-1eac-45d9-9c71-b315f8f49a06,Inside Out,2015,8.1,123
