ID,Title,Year,Rating,Rank
8ff1c1d4-bd6f-4647-aade-330375db69b6,A Trip to the Moon,1902,100,1
40bce645-7fb8-4584-be9c-e5d894759b1f,Intolerance,1916,97,2
5c4f0a57-84d4-4c7d-9378-11e5be1703b5,Broken Blossoms,1919,95,3
f5b9d713-001a-4b3b-a08e-7a92b410911c,The Cabinet of Dr. Caligari,1920,96,4
db3bab21-c852-4059-9823-55d6e3d951fa,The Kid,1921,100,5
2c1efa6d-3c5e-4d4b-be9e-9dca6c631182,The Phantom Carriage,1921,100,6
732469e1-1f3d-4064-b5b0-d3c6b12520e1,Nanook of the North,1922,100,7
bdabd52e-0bdc-4196-9d2b-9470039a15d9,Nosferatu,1922,97,8
45cf02e5-3458-45e8-a0ea-16a7753a56da,Our Hospitality,1923,97,9
e09519b1-cf26-4b67-ad1b-5353b0631e47,Safety Last!,1923,97,10
12a86284-aaa5-423a-84ca-af72c72b78b7,Greed,1924,96,11
ef38d798-4195-48ba-9811-1cded73c4f72,"Sherlock, Jr.",1924,93,12
95952533-5490-4d86-8118-caa48c8f093d,The Last Laugh,1924,100,13
565105f2-e712-4fb9-b338-da425543c6a6,The Navigator,1924,100,14
2ef4f43d-473e-4fea-bafc-787872b1a14a,Battleship Potemkin,1925,100,15
7f5838d0-79ad-400f-84f8-e1454f445b86,Seven Chances,1925,94,16
52a5be9e-28b8-4b95-8d85-4c017a7bff3e,The Gold Rush,1925,100,17
701e18a2-e63d-46f1-9877-036f211594b9,The Phantom of the Opera,1925,90,18
2632dc96-e597-4322-94eb-b85dcc5643ec,Faust,1926,91,19
fbffacc3-80a6-4e8c-925c-2604fcc37d1d,The General,1926,92,20
9f2401ef-49e5-4591-b285-5dcc6eac05ce,Metropolis,1927,97,21
bd5d9a22-cbc1-4684-bb9f-c9f06121adf9,Sunrise: A Song of Two Humans,1927,98,22
996f9935-23ab-47fc-9d40-98074d43cad1,The Lodger: A Story of the London Fog,1927,96,23
c58bb760-d072-40b3-ad4d-ba5bd307bbbd,"Steamboat Bill, Jr.",1928,100,24
5a736606-8938-434e-a19a-c8da237c0e19,The Cameraman,1928,100,25
49dd2201-d84f-4975-8bad-b3a34c1f797b,The Circus,1928,97,26
27a1872c-eceb-4896-a2bb-4dc04c3288b7,The Passion of Joan of Arc,1928,98,27
